조사 시작,중간 날짜,조사 끝,광역,선거구,,새누리당,더불어민주당,국민의당,정의당,무소속1,무소속2,무소속3,새누리1,민주1,국민1,정의1,무속1,무속2,무속3,무응답,조사 기관,언론사,조사방법,ARS/전화면접,"응답자수(N, 응답완료사례수)",응답률,가중치,나이
2016-04-05,2016-04-05,2016-04-05,경기,용인시정,경기용인시정,0.39,0.379,0.12,0,0,0,0,0.438695163,0.404182526,0.124626421,0,0,0,0,0.111,리얼미터,중부일보,유선/스마트폰앱혼합,ARS,510,1.9,2.34,4
2016-03-30,2016-04-01,2016-04-02,경기,용인시정,경기용인시정,0.377,0.32,0.134,0,0,0,0,0.453670277,0.35255093,0.142519653,0,0,0,0,0.169,리얼미터,서울경제,유선RDD,전화면접/ARS,512,3.7,2.39,3
2016-04-01,2016-04-02,2016-04-03,경기,용인시정,경기용인시정,0.355,0.396,0.069,0,0,0,0,0.432926829,0.44101589,0.073175177,0,0,0,0,0.18,포커스컴퍼니,문화일보,유선RDD,전화면접,500,7.6,2,3
2016-03-25,2016-03-26,2016-03-26,경기,용인시정,경기용인시정,0.39,0.328,0.109,0,0,0,0,0.471584039,0.361001279,0.115762213,0,0,0,0,0.173,리얼미터,경기신문,유선/스마트폰앱혼합,ARS,509,2.6,2.12,3
2016-04-01,2016-04-02,2016-04-03,경기,용인시정,경기용인시정,0.354,0.424,0.088,0,0,0,0,0.408775982,0.460481169,0.091929321,0,0,0,0,0.134,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,507,12,1.51,3
2016-04-01,2016-04-02,2016-04-02,경기,용인시정,경기용인시정,0.29,0.433,0.08,0,0,0,0,0.361145704,0.495340763,0.085425687,0,0,0,0,0.197,리서치앤리서치,MBC,유선RDD,전화면접,500,7.5,1.5,3
2016-04-02,2016-04-03,2016-04-03,경기,파주시갑,경기파주시갑,0.4042,0.409,0.0979,0,0,0,0,0.443639557,0.430281935,0.100738665,0,0,0,0,0.0889,윈스리서치,"파주에서,파주인,파주시대신문",유선/스마트폰앱혼합,ARS,540,1.2,2.06,3
2016-04-01,2016-04-02,2016-04-02,경기,파주시갑,경기파주시갑,0.297,0.386,0.074,0,0,0,0,0.392338177,0.452871889,0.080503905,0,0,0,0,0.243,밀워드브라운,조선일보,유선RDD,전화면접,512,13.3,1.4,2
2016-04-04,2016-04-05,2016-04-05,경기,파주시갑,경기파주시갑,0.3,0.414,0.078,0,0,0,0,0.378787879,0.475431514,0.083671291,0,0,0,0,0.208,현대리서치연구소,윤후덕,유선RDD,ARS,706,9.6,1.3,3
2016-04-01,2016-04-02,2016-04-02,경기,파주시갑,경기파주시갑,0.212,0.333,0.08,0,0,0,0,0.3392,0.442701409,0.092818041,0,0,0,0,0.375,한길리서치센터,"경기일보,기호일보",유선/스마트폰앱혼합,전화면접,500,16,1.84,3
2016-03-31,2016-04-01,2016-04-01,경기,파주시갑,경기파주시갑,0.273,0.442,0.078,0,0,0,0,0.344262295,0.511418816,0.0835403,0,0,0,0,0.207,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,502,14.4,1.63,3
2016-04-02,2016-04-03,2016-04-03,경기,파주시을,경기파주시을,0.4161,0.2554,0,0,0.238,0,0,0.457504123,0.268586489,0,0,0.246864762,0,0,0.0905,윈스리서치,"파주에서,파주인,파주시대신문",유선/스마트폰앱혼합,ARS,616,1.4,2.06,3
2016-03-14,2016-03-15,2016-03-15,경기,이천시,경기이천시,0.584,0.261,0,0,0,0,0,0.69112426,0.274123884,0,0,0,0,0,0.155,리얼미터,중부일보,유선/스마트폰앱혼합,ARS,507,3.6,2,3
