조사시작,중간날짜,조사끝,광역,선거구,,새누리당,더불어민주당,국민의당,정의당,무소속1,무소속2,무소속3,새누리당_1,더불어민주당_1,국민의당_1,정의당_1,무소속1_1,무소속2_1,무소속3_1,DK,조사 기관,언론사,조사방법,ARS/전화면접,"응답자수(N, 응답완료사례수)",응답률,가중치,나이
2016-04-02,2016-04-03,2016-04-04,전북,남원시임실군순창군,전북남원시임실군순창군,0.032,0.175,0.258,0.000,0.237,0.012,0.002,0.045,0.244,0.360,0.000,0.331,0.017,0.003,0.284,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,502,11.8,1.68,3
2016-04-01,2016-04-03,2016-04-04,전북,남원시임실군순창군,전북남원시임실군순창군,0.087,0.260,0.314,0.000,0.181,0.026,0.015,0.099,0.294,0.356,0.000,0.205,0.029,0.017,0.117,㈜유앤미리서치,전북중앙신문,유선/스마트폰앱혼합,전화면접,502,11.8,1.68,3
2016-03-27,2016-03-28,2016-03-29,전북,김제시부안군,전북김제시부안군,0.043,0.346,0.357,0.060,0.000,0.000,0.000,0.053,0.429,0.443,0.074,0.000,0.000,0.000,0.194,코리아리서치센터,"전주MBC,JTV전주방송,전북도민일보",유선RDD,전화면접,502,11.8,1.68,3
2016-04-01,2016-04-02,2016-04-02,전북,김제시부안군,전북김제시부안군,0.065,0.414,0.418,0.048,0.000,0.000,0.000,0.069,0.438,0.442,0.051,0.000,0.000,0.000,0.055,여민리서치컨설팅,뉴스1전북취재본부,유선RDD,전화면접,502,11.8,1.68,3
2016-04-01,2016-04-02,2016-04-02,전북,김제시부안군,전북김제시부안군,0.040,0.375,0.419,0.048,0.000,0.000,0.000,0.045,0.425,0.475,0.054,0.000,0.000,0.000,0.118,모노커뮤니케이션즈,전북매일신문,유선/스마트폰앱혼합,전화면접,502,11.8,1.68,3
2016-03-31,2016-04-01,2016-04-02,전북,김제시부안군,전북김제시부안군,0.063,0.357,0.310,0.044,0.000,0.000,0.000,0.081,0.461,0.401,0.057,0.000,0.000,0.000,0.226,중앙일보조사연구팀/엠브레인,중앙일보,유무선혼합RDD,전화면접,502,11.8,1.68,3
2016-04-01,2016-04-03,2016-04-04,전북,김제시부안군,전북김제시부안군,0.050,0.357,0.420,0.074,0.000,0.000,0.000,0.055,0.396,0.466,0.082,0.000,0.000,0.000,0.099,㈜유앤미리서치,전북중앙신문,유선/스마트폰앱혼합,전화면접,502,11.8,1.68,3
2016-03-27,2016-03-28,2016-03-29,전북,완주군진안군무주군장수군,전북완주군진안군무주군장수군,0.056,0.363,0.412,0.000,0.020,0.000,0.000,0.066,0.427,0.484,0.000,0.024,0.000,0.000,0.149,코리아리서치센터,"전주MBC,JTV전주방송,전북도민일보",유선RDD,전화면접,502,11.8,1.68,3
2016-04-01,2016-04-02,2016-04-02,전북,완주군진안군무주군장수군,전북완주군진안군무주군장수군,0.072,0.402,0.460,0.000,0.021,0.000,0.000,0.075,0.421,0.482,0.000,0.022,0.000,0.000,0.045,여민리서치컨설팅,뉴스3전북취재본부,유선RDD,전화면접,502,11.8,1.68,3
2016-04-01,2016-04-03,2016-04-04,전북,완주군진안군무주군장수군,전북완주군진안군무주군장수군,0.052,0.364,0.465,0.000,0.020,0.000,0.000,0.058,0.404,0.516,0.000,0.022,0.000,0.000,0.099,㈜유앤미리서치,전북중앙신문,유선/스마트폰앱혼합,전화면접,502,11.8,1.68,3
2016-03-29,2016-03-29,2016-03-29,전남,목포시,전남목포시,0.047,0.126,0.427,0.043,0.067,0.013,0.000,0.065,0.174,0.591,0.059,0.093,0.018,0.000,0.277,한길리서치센타,광주타임즈,유선/스마트폰앱혼합,전화면접,502,11.8,1.68,3
2016-03-23,2016-03-23,2016-03-23,전남,목포시,전남목포시,0.083,0.208,0.490,0.042,0.096,0.025,0.000,0.088,0.220,0.519,0.044,0.102,0.026,0.000,0.056,(주)우리리서치,박지원,유선RDD,전화면접,502,11.8,1.68,3
2016-03-30,2016-04-01,2016-04-02,전남,목포시,전남목포시,0.061,0.135,0.442,0.029,0.073,0.023,0.007,0.079,0.175,0.574,0.038,0.095,0.030,0.009,0.230,한국리서치,광주방송,유선RDD,전화면접,502,11.8,1.68,3
2016-04-01,2016-04-02,2016-04-03,전남,목포시,전남목포시,0.053,0.139,0.498,0.047,0.092,0.000,0.000,0.064,0.168,0.601,0.057,0.111,0.000,0.000,0.171,㈜밀워드브라운리서치,광주KBS,유선RDD,전화면접,502,11.8,1.68,3
2016-04-01,2016-04-02,2016-04-03,전남,목포시,전남목포시,0.048,0.143,0.495,0.040,0.079,0.007,0.003,0.059,0.175,0.607,0.049,0.097,0.009,0.004,0.185,㈜밀워드브라운리서치,광주KBS,유선RDD,전화면접,502,11.8,1.68,3
2016-04-03,2016-04-03,2016-04-03,전남,목포시,전남목포시,0.048,0.201,0.517,0.028,0.136,0.005,0.006,0.051,0.214,0.549,0.030,0.145,0.005,0.006,0.059,에스엠소프트웨어㈜,에스엠소프트웨어㈜,유선RDD,전화면접,502,11.8,1.68,3
2016-04-03,2016-04-04,2016-04-05,전남,목포시,전남목포시,0.076,0.147,0.485,0.049,0.086,0.007,0.002,0.089,0.173,0.569,0.058,0.101,0.008,0.002,0.148,코리아리서치센터,"KBS,연합뉴스",유선RDD,전화면접,502,11.8,1.68,3
2016-04-02,2016-04-04,2016-04-05,전남,목포시,전남목포시,0.052,0.154,0.450,0.052,0.072,0.004,0.000,0.066,0.196,0.574,0.066,0.092,0.005,0.000,0.216,TNSKOREA,SBS,유선RDD,전화면접,502,11.8,1.68,3
2016-03-26,2016-03-27,2016-03-27,전남,여수시갑,전남여수시갑,0.049,0.299,0.280,0.000,0.157,0.017,0.000,0.061,0.373,0.349,0.000,0.196,0.021,0.000,0.198,코리아리서치센터,"여수MBC,순천KBS",유선RDD,전화면접,502,11.8,1.68,3
2016-03-31,2016-04-01,2016-04-01,전남,여수시갑,전남여수시갑,0.050,0.312,0.328,0.000,0.226,0.014,0.000,0.054,0.335,0.353,0.000,0.243,0.015,0.000,0.070,모노커뮤니케이션즈,이용주후보자,유선RDD,전화면접,502,11.8,1.68,3
2016-04-02,2016-04-02,2016-04-02,전남,여수시갑,전남여수시갑,0.059,0.280,0.415,0.000,0.200,0.021,0.000,0.061,0.287,0.426,0.000,0.205,0.022,0.000,0.025,PNR-㈜피플네트웍스,여수신문,유선RDD,전화면접,502,11.8,1.68,3
2016-04-03,2016-04-03,2016-04-03,전남,여수시갑,전남여수시갑,0.052,0.284,0.409,0.000,0.162,0.033,0.000,0.055,0.302,0.435,0.000,0.172,0.035,0.000,0.060,"
한국사회여론연구소(KSOI)",남해안신문,유선RDD,전화면접,502,11.8,1.68,3
2016-03-30,2016-04-01,2016-04-02,전남,여수시갑,전남여수시갑,0.042,0.297,0.307,0.000,0.142,0.011,0.000,0.053,0.372,0.384,0.000,0.178,0.014,0.000,0.201,한국리서치,광주방송,유선RDD,전화면접,502,11.8,1.68,3
2016-03-26,2016-03-27,2016-03-27,전남,여수시을,전남여수시을,0.063,0.232,0.446,0.023,0.000,0.000,0.000,0.082,0.304,0.584,0.030,0.000,0.000,0.000,0.236,코리아리서치센터,"여수MBC,순천KBS",유선RDD,전화면접,502,11.8,1.68,3
2016-04-02,2016-04-02,2016-04-02,전남,여수시을,전남여수시을,0.078,0.337,0.443,0.027,0.000,0.000,0.000,0.088,0.381,0.501,0.031,0.000,0.000,0.000,0.115,PNR-㈜피플네트웍스,여수신문,유선RDD,전화면접,502,11.8,1.68,3
2016-04-03,2016-04-03,2016-04-03,전남,여수시을,전남여수시을,0.087,0.326,0.402,0.055,0.000,0.000,0.000,0.100,0.375,0.462,0.063,0.000,0.000,0.000,0.130,"
한국사회여론연구소(KSOI)",남해안신문,유선RDD,전화면접,502,11.8,1.68,3
2016-03-30,2016-04-01,2016-04-02,전남,여수시을,전남여수시을,0.050,0.258,0.459,0.033,0.000,0.000,0.000,0.063,0.323,0.574,0.041,0.000,0.000,0.000,0.200,한국리서치,광주방송,유선RDD,전화면접,502,11.8,1.68,3
2016-03-26,2016-03-27,2016-03-28,전남,순천시,전남순천시,0.250,0.445,0.145,0.000,0.017,0.000,0.000,0.292,0.519,0.169,0.000,0.020,0.000,0.000,0.143,TNS,SBS,유선RDD,전화면접,502,11.8,1.68,3
2016-03-30,2016-03-31,2016-03-31,전남,순천시,전남순천시,0.235,0.321,0.189,0.000,0.087,0.000,0.000,0.282,0.386,0.227,0.000,0.105,0.000,0.000,0.168,순천투데이(전남리서치연구소),순천투데이,유선RDD,전화면접,502,11.8,1.68,3
2016-03-27,2016-03-27,2016-03-27,전남,순천시,전남순천시,0.272,0.418,0.123,0.000,0.016,0.000,0.000,0.328,0.504,0.148,0.000,0.019,0.000,0.000,0.171,코리아리서치센터,"여수MBC,순천KBS",유선RDD,전화면접,502,11.8,1.68,3
2016-03-24,2016-03-25,2016-03-25,전남,순천시,전남순천시,0.220,0.370,0.133,0.000,0.000,0.000,0.000,0.304,0.512,0.184,0.000,0.000,0.000,0.000,0.277,(주)리서치앤리서치,동아일보,유선RDD,전화면접,502,11.8,1.68,3
2016-03-24,2016-03-24,2016-03-24,전남,순천시,전남순천시,0.293,0.370,0.233,0.000,0.000,0.000,0.000,0.327,0.413,0.260,0.000,0.000,0.000,0.000,0.104,PNR-(주)피플네트웍스,서울매일,유선RDD,전화면접,502,11.8,1.68,3
2016-03-22,2016-03-23,2016-03-23,전남,순천시,전남순천시,0.314,0.381,0.126,0.000,0.013,0.000,0.000,0.376,0.457,0.151,0.000,0.016,0.000,0.000,0.166,(주)코리아리서치센터,"KBS,연합뉴스",유선RDD,전화면접,502,11.8,1.68,3
2016-03-30,2016-03-31,2016-04-01,전남,순천시,전남순천시,0.271,0.355,0.145,0.000,0.022,0.000,0.000,0.342,0.448,0.183,0.000,0.028,0.000,0.000,0.207,리얼미터,서울경제,유선RDD,전화면접,502,11.8,1.68,3
2016-03-30,2016-04-01,2016-04-02,전남,순천시,전남순천시,0.305,0.405,0.104,0.000,0.022,0.000,0.000,0.365,0.484,0.124,0.000,0.026,0.000,0.000,0.164,한국리서치,광주방송,유선RDD,전화면접,502,11.8,1.68,3
2016-04-03,2016-04-04,2016-04-04,전남,순천시,전남순천시,0.334,0.357,0.138,0.000,0.035,0.000,0.000,0.387,0.413,0.160,0.000,0.041,0.000,0.000,0.136,포커스컴퍼니,문화일보,유선RDD,전화면접,502,11.8,1.68,3
2016-04-01,2016-04-02,2016-04-02,전남,순천시,전남순천시,0.331,0.367,0.111,0.000,0.037,0.000,0.000,0.391,0.434,0.131,0.000,0.044,0.000,0.000,0.154,리얼미터,"CBS,국민일보",유선/스마트폰앱혼합,전화면접,502,11.8,1.68,3
2016-04-01,2016-04-02,2016-04-03,전남,순천시,전남순천시,0.332,0.376,0.129,0.000,0.037,0.000,0.000,0.380,0.430,0.148,0.000,0.042,0.000,0.000,0.126,㈜밀워드브라운리서치,광주KBS,유선RDD,전화면접,502,11.8,1.68,3
2016-04-01,2016-04-02,2016-04-02,전남,순천시,전남순천시,0.304,0.393,0.110,0.000,0.021,0.000,0.000,0.367,0.475,0.133,0.000,0.025,0.000,0.000,0.172,㈜리서치앤리서치,MBC,유선RDD,전화면접,502,11.8,1.68,3
2016-04-01,2016-04-02,2016-04-03,전남,순천시,전남순천시,0.331,0.380,0.131,0.000,0.036,0.000,0.000,0.377,0.433,0.149,0.000,0.041,0.000,0.000,0.122,㈜밀워드브라운리서치,광주KBS,유선RDD,전화면접,502,11.8,1.68,3
2016-03-30,2016-04-01,2016-04-02,전남,나주시화순군,전남나주시화순군,0.050,0.417,0.335,0.000,0.000,0.000,0.000,0.062,0.520,0.418,0.000,0.000,0.000,0.000,0.198,한국리서치,광주방송,유선RDD,전화면접,502,11.8,1.68,3
