"","date","region","party","mean_rate","lower_rate","upper_rate","mu","sd"
"mu[22]5",2016-03-31,"서울강서구을","민주당",34.8317436490602,29.6172756539734,40.2835853244594,34.8565719627857,1.48545004401612
"mu[23]5",2016-04-01,"서울강서구을","민주당",34.8656430211275,30.0841369227101,39.6545081308494,34.8662478440492,1.26461920860832
"mu[24]5",2016-04-02,"서울강서구을","민주당",34.97954732272,30.539276201697,39.3794152108201,34.9726622811429,1.19150461705194
"mu[25]5",2016-04-03,"서울강서구을","민주당",35.021429288042,30.3048046617447,39.2542072667193,35.0241854753683,1.19791115932763
"mu[26]5",2016-04-04,"서울강서구을","민주당",35.0629135184385,29.7116325099349,39.0059992135524,35.0684390077079,1.17044293586649
"mu[27]5",2016-04-05,"서울강서구을","민주당",35.1439249130916,30.8492496465372,39.1677623450847,35.135445644284,1.07198110504349
"mu[28]5",2016-04-06,"서울강서구을","민주당",35.1758716202752,31.8151601502247,38.7591158354111,35.1906552184696,0.829606689661307
"mu[1]6",2016-03-10,"서울강서구을","국민의당",11.7857297117944,11.4407951349343,12.160384879,11.7856415419376,0.0923911441746768
"mu[2]6",2016-03-11,"서울강서구을","국민의당",11.7374571008822,8.5177609926211,15.0069698126471,11.7259373360211,0.848235892406316
"mu[3]6",2016-03-12,"서울강서구을","국민의당",11.6219679399757,7.43133280061005,16.3273475540851,11.6273615074877,1.18077384783218
"mu[4]6",2016-03-13,"서울강서구을","국민의당",11.5358513133436,6.03681552349643,17.5698418921319,11.5399423226475,1.41646700428675
"mu[5]6",2016-03-14,"서울강서구을","국민의당",11.4568702525457,5.43970275570808,17.4003682785453,11.4655825702481,1.57839304186768
"mu[6]6",2016-03-15,"서울강서구을","국민의당",11.4154268567195,4.33358619776073,17.716196911415,11.4107596097335,1.67124192541475
"mu[7]6",2016-03-16,"서울강서구을","국민의당",11.3651959484932,4.34108394129044,18.6366071147072,11.3590249680405,1.76281818056393
"mu[8]6",2016-03-17,"서울강서구을","국민의당",11.3320504618021,4.39153039561306,19.2091327544897,11.3351831377105,1.86906956910334
"mu[9]6",2016-03-18,"서울강서구을","국민의당",11.3394742782949,4.07748655962841,17.9568549058975,11.311101947225,1.95641942862986
"mu[10]6",2016-03-19,"서울강서구을","국민의당",11.2532063918488,3.10831888009336,18.6634253697817,11.2523157044453,2.0216309951238
"mu[11]6",2016-03-20,"서울강서구을","국민의당",11.2227881576629,3.72311314082135,19.769393592655,11.2114451879601,2.04380031461202
"mu[12]6",2016-03-21,"서울강서구을","국민의당",11.1919042833548,3.13016189039891,19.3270164338685,11.1722898969823,2.0561062357531
"mu[13]6",2016-03-22,"서울강서구을","국민의당",11.0899829461699,2.97611087036908,18.4128130648899,11.1173353031526,2.00322120832846
"mu[14]6",2016-03-23,"서울강서구을","국민의당",11.0963320928149,4.02023034011311,19.2027002855744,11.0904770434517,1.99147944338042
"mu[15]6",2016-03-24,"서울강서구을","국민의당",11.0526509381305,3.08791370999471,18.7403015158225,11.0590697526157,1.94570888202894
"mu[16]6",2016-03-25,"서울강서구을","국민의당",11.01715605167,4.25796285873702,17.9986629700198,10.9694201136098,1.87139444933974
"mu[17]6",2016-03-26,"서울강서구을","국민의당",10.9120885977614,3.60952822403712,18.0947810707345,10.901759225612,1.84401294717987
"mu[18]6",2016-03-27,"서울강서구을","국민의당",10.8600283377879,4.3105622994261,18.0277483837828,10.8604328782979,1.79258988139911
"mu[19]6",2016-03-28,"서울강서구을","국민의당",10.8036347398295,4.42953199454188,17.0400786948007,10.8182948775538,1.69613743929141
