조사시작,중간날짜,조사끝,광역,선거구,,새누리당,더불어민주당,국민의당,정의당,무소속1,무소속2,무소속3,새누리당_1,더불어민주당_1,국민의당_1,정의당_1,무소속1_1,무소속2_1,무소속3_1,DK,조사 기관,언론사,조사방법,ARS/전화면접,"응답자수(N, 응답완료사례수)",응답률,가중치,나이
2016-03-24,2016-03-24,2016-03-24,서울,마포구갑,서울마포구갑,0.275,0.419,0.044,0.000,0.105,0.000,0.000,0.326,0.497,0.052,0.000,0.125,0.000,0.000,0.157,마크로밀엠브레인,중앙일보,유무선혼합RDD,전화면접,500,7.5,2.33,3
2016-03-24,2016-03-25,2016-03-25,서울,마포구갑,서울마포구갑,0.281,0.357,0.030,0.000,0.103,0.000,0.000,0.364,0.463,0.039,0.000,0.134,0.000,0.000,0.229,리서치앤리서치,동아일보,유선RDD,전화면접,503,17.4,1.35,3
2016-03-21,2016-03-22,2016-03-22,서울,마포구갑,서울마포구갑,0.299,0.403,0.038,0.000,0.146,0.000,0.000,0.337,0.455,0.043,0.000,0.165,0.000,0.000,0.114,(주)코리아리서치센터,"KBS,연합뉴스 ",유선RDD,전화면접,500,6.1,2.24,3
2016-03-22,2016-03-23,2016-03-24,서울,마포구갑,서울마포구갑,0.277,0.324,0.044,0.000,0.137,0.000,0.000,0.354,0.414,0.056,0.000,0.175,0.000,0.000,0.218,리얼미터,MBN,유선RDD,전화면접,500,9,2.44,3
2016-04-03,2016-04-04,2016-04-05,서울,마포구갑,서울마포구갑,0.270,0.474,0.062,0.000,0.068,0.000,0.000,0.309,0.542,0.071,0.000,0.078,0.000,0.000,0.126,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,503,11,1.7,3
2016-04-01,2016-04-02,2016-04-03,서울,마포구갑,서울마포구갑,0.313,0.371,0.067,0.000,0.116,0.000,0.000,0.361,0.428,0.077,0.000,0.134,0.000,0.000,0.133,조원씨앤아이,"국민일보,CBS",유선/스마트폰앱혼합,전화면접,511,15.9,1.24,3
2016-04-01,2016-04-02,2016-04-02,서울,마포구을,서울마포구을,0.299,0.229,0.103,0.039,0.068,0.000,0.000,0.405,0.310,0.140,0.053,0.092,0.000,0.000,0.262,밀워드브라운미디어리서치,조선일보,유선RDD,전화면접,508,11.9,2.34,3
2016-03-31,2016-04-01,2016-04-02,서울,마포구을,서울마포구을,0.357,0.262,0.109,0.042,0.110,0.000,0.000,0.406,0.298,0.124,0.048,0.125,0.000,0.000,0.120,리얼미터,서울경제,유선RDD,전화면접,600,12.2,1.53,3
2016-04-05,2016-04-06,2016-04-06,서울,마포구을,서울마포구을,0.324,0.300,0.099,0.043,0.055,0.000,0.000,0.395,0.365,0.121,0.052,0.067,0.000,0.000,0.179,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접/ARS,514,4.5,2.06,3
2016-04-02,2016-04-03,2016-04-03,서울,마포구을,서울마포구을,0.307,0.299,0.087,0.051,0.039,0.000,0.000,0.392,0.382,0.111,0.065,0.050,0.000,0.000,0.217,마크로밀엠브레인,중앙일보,유무선혼합RDD,전화면접,502,6.5,2.21,3
