조사 시작,중간 날짜,조사 끝,광역,선거구,,새누리당,더불어민주당,국민의당,정의당,무소속1,무소속2,무소속3,새누리1,민주1,국민1,정의1,무속1,무속2,무속3,무응답,조사 기관,언론사,조사방법,ARS/전화면접,"응답자수(N, 응답완료사례수)",응답률,가중치,나이
2016/04/03,2016/04/05,2016/04/06,충북,청주시흥덕구,충북청주시흥덕구,0.319,0.293,0.044,0,0.074,0,0,0.436986301,0.401369863,0.060273973,0,0.101369863,0,0,0.27,한국갤럽조사연구소,KBS청주,유선RDD,전화면접,500,13.1,2,3
2016/04/02,2016/04/04,2016/04/05,서울,종로구,서울종로구,0.454,0.356,0.061,0.02,0.005,0,0,0.506696429,0.397321429,0.068080357,0.022321429,0.005580357,0,0,0.104,TNS,SBS,유선RDD,전화면접,504,7.1,2.5,2
2016/04/03,2016/04/04,2016/04/05,서울,종로구,서울종로구,0.4,0.404,0.048,0.012,0.004,0.007,0,0.457142857,0.461714286,0.054857143,0.013714286,0.004571429,0.008,0,0.125,코리아리서치센터,"KBS,연합뉴스",유선RDD,전화면접,500,8.5,2.29,2
2016/04/04,2016/04/05,2016/04/05,서울,용산구,서울용산구,0.384,0.29,0.122,0.014,0,0,0,0.474074074,0.358024691,0.150617284,0.017283951,0,0,0,0.19,리서치앤리서치,동아일보,유선RDD,전화면접,500,5.9,1.6,2
2016/04/03,2016/04/04,2016/04/05,서울,용산구,서울용산구,0.322,0.371,0.076,0.033,0,0,0,0.401496259,0.462593516,0.094763092,0.041147132,0,0,0,0.198,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,500,21.5,1.47,3
2016/04/02,2016/04/04,2016/04/05,서울,용산구,서울용산구,0.389,0.347,0.113,0.029,0,0,0,0.443052392,0.395216401,0.128701595,0.033029613,0,0,0,0.122,TNS,SBS,유선RDD,전화면접,504,7.8,2.44,3
2016/04/04,2016/04/05,2016/04/05,서울,동대문구을,서울동대문구을,0.302,0.484,0,0,0,0,0,0.384223919,0.615776081,0,0,0,0,0,0.214,마크로밀엠브레인,민병두,유무선혼합RDD,전화면접,503,18.3,1.23,4
2016/04/04,2016/04/05,2016/04/05,서울,성북구갑,서울성북구갑,0.322,0.278,0.145,0,0,0,0,0.432214765,0.373154362,0.194630872,0,0,0,0,0.255,리얼미터,MBN,유선RDD,전화면접,511,9.9,2.16,2
2016/04/02,2016/04/04,2016/04/05,서울,노원구병,서울노원구병,0.3,0.104,0.457,0.032,0,0,0,0.335946249,0.116461366,0.511758119,0.035834267,0,0,0,0.107,TNS,SBS,유선RDD,전화면접,504,5.8,2.34,2
2016/04/03,2016/04/04,2016/04/05,서울,노원구병,서울노원구병,0.334,0.121,0.388,0.035,0,0,0,0.380410023,0.137813212,0.44191344,0.039863326,0,0,0,0.122,코리아리서치센터,"KBS,연합뉴스",유선RDD,전화면접,500,10.6,2.35,3
